hand,deal,advisor_seat,advisor_position,dealer_seat,street_reached,showdown,board,advisor_hole,advisor_chips,villain_chips,decisions,seat0_chips,seat1_chips,seat2_chips
0,0,0,BTN,0,3,False,8c Qs 7h Jh 8d,8h 8s,96,-96,11,96,-10,-86
1,0,1,SB,0,1,False,8c Qs 7h,9h 2h,-10,10,6,30,-10,-20
2,0,2,BB,0,1,False,8c Qs 7h,3s Tc,-20,20,8,40,-20,-20
3,1,0,BTN,0,1,False,Kd 5d Ts,Qc 3d,0,0,7,0,-120,120
4,1,1,SB,0,0,False,,Jd 3h,-10,10,2,0,-10,10
5,1,2,BB,0,1,False,Kd 5d Ts,Tc Ad,20,-20,6,0,-20,20
6,2,0,BTN,0,3,True,4d As 2d 8s Ks,Td Qd,-50,50,12,-50,-50,100
7,2,1,SB,0,3,True,4d As 2d 8s Ks,6c 5c,-600,600,11,0,-600,600
8,2,2,BB,0,3,True,4d As 2d 8s Ks,4s 7h,20,-20,9,0,-20,20
9,3,0,BTN,0,0,False,,4h Ts,0,0,4,0,-20,20
10,3,1,SB,0,3,True,4c Jh Jd 4d 3c,6s 8s,100,-100,9,0,100,-100
11,3,2,BB,0,3,True,4c Jh Jd 4d 3c,2c 2s,-20,20,9,0,20,-20
12,4,0,BTN,0,3,True,2s Ks 8h 8d Th,Ah As,-2000,2000,12,-2000,-10,2010
13,4,1,SB,0,3,True,2s Ks 8h 8d Th,3h Qh,-10,10,10,-1770,-10,1780
14,4,2,BB,0,0,False,,Tc 8c,-240,240,5,250,-10,-240
15,5,0,BTN,0,3,True,Ks 4d Qd Jd Jc,5h Qs,0,0,9,0,20,-20
16,5,1,SB,0,0,False,,7c Td,-10,10,2,0,-10,10
17,5,2,BB,0,1,False,Ks 4d Qd,6s 2s,20,-20,6,0,-20,20
18,6,0,BTN,0,1,False,7s 5c Jd,Ts 4c,0,0,6,0,-20,20
19,6,1,SB,0,2,False,7s 5c Jd 3h,Kc 8d,-100,100,8,0,-100,100
20,6,2,BB,0,3,True,7s 5c Jd 3h 9d,2c 7h,20,-20,9,0,-20,20
21,7,0,BTN,0,2,False,2h 6c 7c 9h,Tc 8d,0,0,10,0,-180,180
22,7,1,SB,0,2,False,2h 6c 7c 9h,Jh Td,-90,90,9,0,-90,90
23,7,2,BB,0,3,True,2h 6c 7c 9h 5h,4h 4c,60,-60,10,0,-60,60
24,8,0,BTN,0,3,True,Ac Kd Ts 5s 7d,2h 8h,0,0,12,0,-1920,1920
25,8,1,SB,0,0,False,,8c Qh,-10,10,2,0,-10,10
26,8,2,BB,0,3,True,Ac Kd Ts 5s 7d,Jc Kh,107,-107,11,0,-107,107
27,9,0,BTN,0,3,False,8d Qd 8h 9c 5d,2c 6h,0,0,10,0,-20,20
28,9,1,SB,0,3,False,8d Qd 8h 9c 5d,4h As,-100,100,10,0,-100,100
